tiempo_s,II,V1,V5,label,is_anomalo
0.0,-0.295,0.085,-0.17,1,True
0.002,-0.295,0.085,-0.17,1,True
0.004,-0.295,0.085,-0.17,1,True
0.006,-0.295,0.085,-0.17,1,True
0.008,-0.295,0.085,-0.17,1,True
0.01,-0.295,0.085,-0.17,1,True
0.012,-0.295,0.085,-0.17,1,True
0.014,-0.295,0.085,-0.17,1,True
0.016,-0.295,0.085,-0.17,1,True
0.018,-0.295,0.085,-0.17,1,True
0.02,-0.295,0.085,-0.17,1,True
0.022,-0.295,0.085,-0.17,1,True
0.024,-0.295,0.085,-0.17,1,True
0.026,-0.296,0.085,-0.17,1,True
0.028,-0.302,0.085,-0.17,1,True
0.03,-0.31,0.085,-0.17,1,True
0.032,-0.306,0.085,-0.17,1,True
0.034,-0.304,0.085,-0.17,1,True
0.036,-0.305,0.085,-0.17,1,True
0.038,-0.305,0.085,-0.17,1,True
0.04,-0.305,0.085,-0.17,1,True
0.042,-0.305,0.085,-0.17,1,True
0.044,-0.305,0.085,-0.17,1,True
0.046,-0.305,0.085,-0.17,1,True
0.048,-0.305,0.085,-0.17,1,True
0.05,-0.305,0.085,-0.17,1,True
0.052,-0.305,0.085,-0.17,1,True
0.054,-0.305,0.087,-0.168,1,True
0.056,-0.305,0.079,-0.176,1,True
0.058,-0.304,0.078,-0.185,1,True
0.06,-0.3,0.1,-0.18,1,True
0.062,-0.3,0.097,-0.18,1,True
0.064,-0.3,0.094,-0.18,1,True
0.066,-0.3,0.095,-0.18,1,True
0.068,-0.3,0.095,-0.18,1,True
0.07,-0.3,0.095,-0.18,1,True
0.072,-0.3,0.095,-0.176,1,True
0.074,-0.3,0.095,-0.175,1,True
0.076,-0.3,0.095,-0.175,1,True
0.078,-0.3,0.094,-0.175,1,True
0.08,-0.3,0.09,-0.175,1,True
0.082,-0.3,0.09,-0.175,1,True
0.084,-0.299,0.09,-0.176,1,True
0.086,-0.302,0.09,-0.173,1,True
0.088,-0.305,0.09,-0.17,1,True
0.09,-0.3,0.09,-0.17,1,True
0.092,-0.3,0.09,-0.17,1,True
0.094,-0.3,0.091,-0.17,1,True
0.096,-0.3,0.088,-0.17,1,True
0.098,-0.3,0.085,-0.169,1,True
0.1,-0.3,0.085,-0.165,1,True
0.102,-0.3,0.085,-0.165,1,True
0.104,-0.301,0.085,-0.165,1,True
0.106,-0.298,0.085,-0.165,1,True
0.108,-0.295,0.085,-0.165,1,True
0.11,-0.295,0.085,-0.165,1,True
0.112,-0.295,0.085,-0.165,1,True
0.114,-0.295,0.086,-0.162,1,True
0.116,-0.295,0.083,-0.159,1,True
0.118,-0.295,0.08,-0.16,1,True
0.12,-0.295,0.08,-0.16,1,True
0.122,-0.295,0.08,-0.16,1,True
0.124,-0.292,0.081,-0.157,1,True
0.126,-0.289,0.078,-0.154,1,True
0.128,-0.29,0.075,-0.155,1,True
0.13,-0.29,0.075,-0.155,1,True
0.132,-0.29,0.075,-0.155,1,True
0.134,-0.29,0.076,-0.152,1,True
0.136,-0.29,0.073,-0.149,1,True
0.138,-0.29,0.07,-0.15,1,True
0.14,-0.29,0.07,-0.15,1,True
0.142,-0.29,0.07,-0.15,1,True
0.144,-0.287,0.07,-0.151,1,True
0.146,-0.284,0.07,-0.148,1,True
0.148,-0.285,0.069,-0.145,1,True
0.15,-0.285,0.065,-0.145,1,True
0.152,-0.281,0.065,-0.145,1,True
0.154,-0.28,0.065,-0.146,1,True
0.156,-0.28,0.065,-0.143,1,True
0.158,-0.28,0.064,-0.14,1,True
0.16,-0.28,0.06,-0.14,1,True
0.162,-0.276,0.06,-0.14,1,True
0.164,-0.275,0.06,-0.14,1,True
0.166,-0.275,0.06,-0.139,1,True
0.168,-0.275,0.06,-0.143,1,True
0.17,-0.275,0.06,-0.155,1,True
0.172,-0.271,0.064,-0.151,1,True
0.174,-0.269,0.067,-0.149,1,True
0.176,-0.271,0.059,-0.15,1,True
0.178,-0.269,0.058,-0.15,1,True
0.18,-0.265,0.08,-0.15,1,True
0.182,-0.265,0.077,-0.15,1,True
0.184,-0.265,0.074,-0.15,1,True
0.186,-0.265,0.076,-0.15,1,True
0.188,-0.264,0.074,-0.15,1,True
0.19,-0.26,0.07,-0.15,1,True
0.192,-0.26,0.07,-0.15,1,True
0.194,-0.26,0.071,-0.15,1,True
0.196,-0.26,0.068,-0.15,1,True
0.198,-0.261,0.065,-0.149,1,True
0.2,-0.265,0.065,-0.145,1,True
0.202,-0.265,0.065,-0.145,1,True
0.204,-0.264,0.062,-0.145,1,True
0.206,-0.267,0.059,-0.145,1,True
0.208,-0.27,0.06,-0.145,1,True
0.21,-0.27,0.06,-0.145,1,True
0.212,-0.27,0.056,-0.145,1,True
0.214,-0.267,0.054,-0.145,1,True
0.216,-0.264,0.056,-0.145,1,True
0.218,-0.265,0.054,-0.145,1,True
0.22,-0.265,0.05,-0.145,1,True
0.222,-0.265,0.05,-0.145,1,True
0.224,-0.262,0.051,-0.146,1,True
0.226,-0.259,0.048,-0.143,1,True
0.228,-0.26,0.045,-0.14,1,True
0.23,-0.26,0.045,-0.14,1,True
0.232,-0.26,0.045,-0.14,1,True
0.234,-0.257,0.047,-0.14,1,True
0.236,-0.254,0.039,-0.14,1,True
0.238,-0.255,0.038,-0.14,1,True
0.24,-0.255,0.06,-0.14,1,True
0.242,-0.255,0.057,-0.14,1,True
0.244,-0.256,0.054,-0.137,1,True
0.246,-0.253,0.055,-0.134,1,True
0.248,-0.25,0.055,-0.135,1,True
0.25,-0.25,0.055,-0.135,1,True
0.252,-0.25,0.055,-0.135,1,True
0.254,-0.251,0.052,-0.135,1,True
0.256,-0.248,0.049,-0.135,1,True
0.258,-0.245,0.05,-0.135,1,True
0.26,-0.245,0.05,-0.135,1,True
0.262,-0.245,0.05,-0.131,1,True
0.264,-0.245,0.05,-0.13,1,True
0.266,-0.245,0.05,-0.13,1,True
0.268,-0.245,0.049,-0.13,1,True
0.27,-0.245,0.045,-0.13,1,True
0.272,-0.245,0.045,-0.13,1,True
0.274,-0.245,0.045,-0.13,1,True
0.276,-0.245,0.045,-0.13,1,True
0.278,-0.245,0.045,-0.13,1,True
0.28,-0.245,0.045,-0.13,1,True
0.282,-0.245,0.041,-0.13,1,True
0.284,-0.245,0.04,-0.13,1,True
0.286,-0.245,0.04,-0.13,1,True
0.288,-0.245,0.04,-0.13,1,True
0.29,-0.245,0.04,-0.13,1,True
0.292,-0.245,0.04,-0.13,1,True
0.294,-0.245,0.04,-0.128,1,True
0.296,-0.245,0.042,-0.136,1,True
0.298,-0.245,0.046,-0.145,1,True
0.3,-0.245,0.05,-0.14,1,True
0.302,-0.245,0.054,-0.14,1,True
0.304,-0.245,0.059,-0.14,1,True
0.306,-0.245,0.059,-0.14,1,True
0.308,-0.245,0.054,-0.14,1,True
0.31,-0.245,0.055,-0.14,1,True
0.312,-0.245,0.055,-0.14,1,True
0.314,-0.245,0.055,-0.14,1,True
0.316,-0.245,0.055,-0.14,1,True
0.318,-0.245,0.055,-0.14,1,True
0.32,-0.245,0.055,-0.14,1,True
0.322,-0.245,0.055,-0.14,1,True
0.324,-0.242,0.052,-0.141,1,True
0.326,-0.239,0.049,-0.138,1,True
0.328,-0.24,0.05,-0.135,1,True
0.33,-0.24,0.05,-0.135,1,True
0.332,-0.236,0.05,-0.135,1,True
0.334,-0.235,0.05,-0.135,1,True
0.336,-0.235,0.05,-0.135,1,True
0.338,-0.235,0.05,-0.135,1,True
0.34,-0.235,0.05,-0.135,1,True
0.342,-0.231,0.046,-0.135,1,True
0.344,-0.229,0.045,-0.135,1,True
0.346,-0.231,0.045,-0.135,1,True
0.348,-0.229,0.045,-0.135,1,True
0.35,-0.225,0.045,-0.135,1,True
0.352,-0.225,0.045,-0.135,1,True
0.354,-0.225,0.045,-0.135,1,True
0.356,-0.225,0.045,-0.135,1,True
0.358,-0.224,0.045,-0.135,1,True
0.36,-0.22,0.045,-0.135,1,True
0.362,-0.22,0.045,-0.135,1,True
0.364,-0.217,0.043,-0.135,1,True
0.366,-0.214,0.051,-0.135,1,True
0.368,-0.215,0.06,-0.135,1,True
0.37,-0.215,0.055,-0.135,1,True
0.372,-0.211,0.055,-0.135,1,True
0.374,-0.21,0.052,-0.135,1,True
0.376,-0.208,0.05,-0.136,1,True
0.378,-0.204,0.049,-0.134,1,True
0.38,-0.205,0.045,-0.125,1,True
0.382,-0.206,0.045,-0.116,1,True
0.384,-0.196,0.042,-0.112,1,True
0.386,-0.187,0.039,-0.107,1,True
0.388,-0.174,0.04,-0.098,1,True
0.39,-0.14,0.04,-0.09,1,True
0.392,-0.111,0.036,-0.086,1,True
0.394,-0.092,0.035,-0.079,1,True
0.396,-0.079,0.033,-0.072,1,True
0.398,-0.067,0.03,-0.069,1,True
0.4,-0.055,0.03,-0.065,1,True
0.402,-0.043,0.026,-0.057,1,True
0.404,-0.028,0.025,-0.052,1,True
0.406,-0.012,0.023,-0.048,1,True
0.408,0.004,0.019,-0.044,1,True
0.41,0.02,0.02,-0.04,1,True
0.412,0.033,0.022,-0.04,1,True
0.414,0.038,0.009,-0.04,1,True
0.416,0.044,-0.007,-0.04,1,True
0.418,0.052,-0.018,-0.04,1,True
0.42,0.06,-0.03,-0.04,1,True
0.422,0.08,-0.04,-0.04,1,True
0.424,0.093,-0.071,-0.04,1,True
0.426,0.111,-0.089,-0.04,1,True
0.428,0.135,-0.094,-0.04,1,True
0.43,0.145,-0.115,-0.04,1,True
0.432,0.141,-0.112,-0.039,1,True
0.434,0.137,-0.11,-0.047,1,True
0.436,0.133,-0.108,-0.049,1,True
0.438,0.129,-0.105,-0.044,1,True
0.44,0.125,-0.105,-0.04,1,True
0.442,0.12,-0.101,-0.035,1,True
0.444,0.121,-0.101,-0.036,1,True
0.446,0.097,-0.095,-0.032,1,True
0.448,0.049,-0.082,-0.04,1,True
0.45,0.01,-0.07,-0.075,1,True
0.452,-0.037,-0.057,-0.101,1,True
0.454,-0.087,-0.05,-0.112,1,True
0.456,-0.133,-0.038,-0.135,1,True
0.458,-0.175,-0.021,-0.156,1,True
0.46,-0.205,-0.01,-0.145,1,True
0.462,-0.21,0.002,-0.141,1,True
0.464,-0.213,0.013,-0.134,1,True
0.466,-0.216,0.03,-0.128,1,True
0.468,-0.215,0.048,-0.123,1,True
0.47,-0.215,0.05,-0.115,1,True
0.472,-0.222,0.05,-0.111,1,True
0.474,-0.235,0.05,-0.107,1,True
